id,host_name,host_response_time,host_is_superhost,neighbourhood,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,number_of_reviews,last_review,review_scores_rating
10231339,Mckinley,N/A,f,Capitol Hill,Capitol Hill,80203,39.73292,-104.98231,Apartment,Private room,2,1,1,1,,$40.00 ,1,5/2/16,
10237203,Jess,within an hour,t,Congress Park,Congress Park,80206,39.73372,-104.94646,Guest suite,Entire home/apt,2,1,1,1,,$70.00 ,380,4/8/19,97
10244515,Scott (And Debra),within a day,f,North Park Hill,South Park Hill,80207,39.75009,-104.9259,Bungalow,Entire home/apt,4,2,2,2,,$199.00 ,21,3/16/19,99
10248217,Emily,N/A,f,Berkeley,Berkeley,80212,39.78055,-105.04003,House,Entire home/apt,4,1,1,2,,$160.00 ,61,11/6/17,98
10250349,Benjamin & Kim,within an hour,t,Athmar Park,Athmar Park,80219,39.70397,-105.0231,House,Entire home/apt,16,3,6,12,,$499.00 ,44,4/26/19,96
10266757,Jim,within an hour,t,Five Points,Five Points,80205,39.75196,-104.97492,Guesthouse,Entire home/apt,4,1,0,1,,$105.00 ,197,4/9/19,98
10284327,Ken,within an hour,t,City Park,City Park,80206,39.74153,-104.94638,House,Entire home/apt,6,1.5,3,3,,$245.00 ,60,4/4/19,98
10292703,Ken,N/A,f,Cherry Creek,Cherry Creek,80206,39.72101,-104.956,Condominium,Private room,1,1,1,1,,$125.00 ,4,11/9/17,95
10343072,Allison,within an hour,t,Highland,Highland,80211,39.76859,-105.01103,Townhouse,Entire home/apt,4,1,1,2,,$70.00 ,263,4/11/19,98
10363495,Anne,within an hour,t,Highland,Highland,80211,39.76451,-105.02012,Guesthouse,Entire home/apt,4,1,2,2,,$134.00 ,130,4/22/19,99
10392038,Cori,within an hour,t,Clayton,Clayton,80205,39.76283,-104.9474,Townhouse,Entire home/apt,5,1,2,2,,$120.00 ,52,10/8/18,98
10392285,Benjamin,within an hour,f,CBD,CBD,80202,39.74396,-104.9894,Condominium,Entire home/apt,2,1,1,1,,$75.00 ,43,9/30/18,97
10401469,Todd,N/A,f,Capitol Hill,Capitol Hill,80203,39.72924,-104.979,Apartment,Private room,2,1,1,1,,$75.00 ,44,8/25/17,99
10415529,Karen,within a few hours,t,Hampden,Hampden,80222,39.6568,-104.91783,House,Entire home/apt,12,3.5,5,7,,$500.00 ,18,8/12/18,96
10426535,Dale,within an hour,f,Overland,Overland,80210,39.67225,-104.98887,Apartment,Entire home/apt,4,1,2,4,,$99.00 ,95,4/23/19,93
10469704,Hilary,within an hour,t,Cherry Creek,Cherry Creek,80206,39.72528,-104.95823,Townhouse,Entire home/apt,4,1,2,2,,$127.00 ,234,4/19/19,95
10494162,Wes,within an hour,t,Whittier,Whittier,80205,39.75788,-104.96215,House,Entire home/apt,2,1,0,1,,$85.00 ,245,4/24/19,99
10495744,Christopher,within a day,f,Stapleton,Stapleton,80238,39.75688,-104.87351,House,Private room,2,1,1,1,,$54.00 ,98,7/26/18,99
10500808,Emily,within an hour,t,Highland,Highland,80211,39.76863,-105.00009,Bungalow,Entire home/apt,7,1,2,2,,$99.00 ,255,4/7/19,98
10526349,Lauren,N/A,f,Capitol Hill,Capitol Hill,80203,39.73826,-104.98225,Condominium,Entire home/apt,3,1,0,2,,$95.00 ,1,2/29/16,100
10545642,Maegen,within a few hours,f,Clayton,Clayton,80205,39.76364,-104.94655,Townhouse,Entire home/apt,4,1,2,2,,$115.00 ,14,9/5/18,100
10549975,Maria,within a few hours,f,Chaffee Park,Chaffee Park,80221,39.78709,-105.00864,House,Entire home/apt,4,1,2,2,,$135.00 ,38,4/14/19,99
10554150,Robert,within an hour,t,Washington Park West,Washington Park West,80209,39.70146,-104.97436,Guest suite,Entire home/apt,2,1,0,1,,$80.00 ,90,4/23/19,96
10568492,Adam,within an hour,f,Highland,Highland,80211,39.76225,-105.01409,Bungalow,Entire home/apt,4,1,1,2,,$75.00 ,240,4/8/19,95
